trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.95, 'a': 0.5}",25,0,-152.0682225010064,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
2,False,"{'e': 0.8999999999999999, 'a': 0.5}",25,0,-62.26570223723933,"{0: 14, 1: 6, 2: 5, 3: 0, 4: 0}",0
3,False,"{'e': 0.8499999999999999, 'a': 0.5}",25,0,-217.60363270312897,"{0: 12, 1: 2, 2: 6, 3: 2, 4: 3}",0
4,False,"{'e': 0.7999999999999998, 'a': 0.5}",20,0,-133.83171037770694,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
5,False,"{'e': 0.7499999999999998, 'a': 0.5}",35,0,-130.23844088128558,"{0: 24, 1: 3, 2: 6, 3: 0, 4: 2}",0
6,False,"{'e': 0.6999999999999997, 'a': 0.5}",20,0,-180.99808798756322,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
7,False,"{'e': 0.6499999999999997, 'a': 0.5}",20,0,-138.29394565554287,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
8,False,"{'e': 0.5999999999999996, 'a': 0.5}",35,25,-16.05189096067148,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
9,False,"{'e': 0.5499999999999996, 'a': 0.5}",20,3,-92.78397219233614,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 2}",1
10,False,"{'e': 0.4999999999999996, 'a': 0.5}",20,0,-122.06505928546576,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
11,False,"{'e': 0.4499999999999996, 'a': 0.5}",25,4,-105.12668267869789,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 1}",1
12,False,"{'e': 0.39999999999999963, 'a': 0.5}",25,0,-33.071131903320314,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
13,False,"{'e': 0.34999999999999964, 'a': 0.5}",20,13,-9.917191473072243,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
14,False,"{'e': 0.29999999999999966, 'a': 0.5}",25,0,-20.059947301943343,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
15,False,"{'e': 0.24999999999999967, 'a': 0.5}",25,0,-2.931273868807132,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
16,False,"{'e': 0.19999999999999968, 'a': 0.5}",20,0,-36.08853817613423,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
17,False,"{'e': 0.1499999999999997, 'a': 0.5}",25,15,16.521226776767648,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'e': 0.09999999999999969, 'a': 0.5}",20,3,-16.386124438337145,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
19,False,"{'e': 0.049999999999999684, 'a': 0.5}",25,10,-19.99096066993644,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
20,False,"{'e': -3.191891195797325e-16, 'a': 0.5}",30,9,37.35031516120701,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'e': 0.0, 'a': 0.0}",35,3,-105.87532501567462,"{0: 27, 1: 1, 2: 0, 3: 1, 4: 3}",1
2,True,"{'e': 0.0, 'a': 0.0}",35,0,41.598148678238516,"{0: 34, 1: 1, 2: 0, 3: 0, 4: 0}",0
3,True,"{'e': 0.0, 'a': 0.0}",30,16,25.35059563748903,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'e': 0.0, 'a': 0.0}",25,3,34.395166073582985,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'e': 0.0, 'a': 0.0}",20,3,-38.92389568004476,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
6,True,"{'e': 0.0, 'a': 0.0}",30,18,20.531998719870316,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'e': 0.0, 'a': 0.0}",35,25,16.912209367148364,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'e': 0.0, 'a': 0.0}",25,18,11.770963461303943,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'e': 0.0, 'a': 0.0}",20,0,13.40709683352774,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
10,True,"{'e': 0.0, 'a': 0.0}",20,0,26.30650189528957,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
