trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.98, 'a': 0.5}",20,0,-44.08677193108497,"{0: 8, 1: 12, 2: 0, 3: 0, 4: 0}",0
2,False,"{'e': 0.9603999999999999, 'a': 0.5}",20,0,-40.83417202710212,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
3,False,"{'e': 0.9411919999999999, 'a': 0.5}",20,0,-38.41308484065087,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
4,False,"{'e': 0.9223681599999999, 'a': 0.5}",20,0,-37.60123806326899,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
5,False,"{'e': 0.9039207967999998, 'a': 0.5}",20,0,-25.628543254156362,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
6,False,"{'e': 0.8858423808639998, 'a': 0.5}",20,0,-45.59110522048227,"{0: 8, 1: 12, 2: 0, 3: 0, 4: 0}",0
7,False,"{'e': 0.8681255332467198, 'a': 0.5}",25,0,-56.672773983326664,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
8,False,"{'e': 0.8507630225817854, 'a': 0.5}",30,0,-51.843260043449334,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
9,False,"{'e': 0.8337477621301497, 'a': 0.5}",20,0,-57.59361250843969,"{0: 8, 1: 12, 2: 0, 3: 0, 4: 0}",0
10,False,"{'e': 0.8170728068875467, 'a': 0.5}",20,0,-33.87769895152416,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
11,False,"{'e': 0.8007313507497957, 'a': 0.5}",30,0,-55.64882641735355,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
12,False,"{'e': 0.7847167237347998, 'a': 0.5}",20,0,-37.263482892580875,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
13,False,"{'e': 0.7690223892601038, 'a': 0.5}",30,0,-58.138127527538416,"{0: 14, 1: 16, 2: 0, 3: 0, 4: 0}",0
14,False,"{'e': 0.7536419414749017, 'a': 0.5}",25,0,-39.20423644318812,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
15,False,"{'e': 0.7385691026454037, 'a': 0.5}",30,0,-58.77019603396092,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
16,False,"{'e': 0.7237977205924956, 'a': 0.5}",20,0,-42.84281250457302,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
17,False,"{'e': 0.7093217661806457, 'a': 0.5}",30,0,-74.40302088355283,"{0: 13, 1: 17, 2: 0, 3: 0, 4: 0}",0
18,False,"{'e': 0.6951353308570327, 'a': 0.5}",25,0,-36.90973278337471,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
19,False,"{'e': 0.6812326242398921, 'a': 0.5}",20,0,-37.91697902740933,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
20,False,"{'e': 0.6676079717550942, 'a': 0.5}",20,0,-23.613473822400934,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
21,False,"{'e': 0.6542558123199923, 'a': 0.5}",20,0,-32.82381877942551,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
22,False,"{'e': 0.6411706960735924, 'a': 0.5}",30,0,-38.34964134868292,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
23,False,"{'e': 0.6283472821521205, 'a': 0.5}",25,0,-40.38699682593384,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
24,False,"{'e': 0.6157803365090782, 'a': 0.5}",20,0,-16.720292206044856,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
25,False,"{'e': 0.6034647297788965, 'a': 0.5}",25,0,-47.732835337754246,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
26,False,"{'e': 0.5913954351833186, 'a': 0.5}",25,0,-43.92579865891315,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
27,False,"{'e': 0.5795675264796523, 'a': 0.5}",25,0,-35.9777449576931,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
28,False,"{'e': 0.5679761759500592, 'a': 0.5}",25,0,-59.626135872771165,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
29,False,"{'e': 0.5566166524310581, 'a': 0.5}",30,0,-68.20193359386268,"{0: 14, 1: 16, 2: 0, 3: 0, 4: 0}",0
30,False,"{'e': 0.5454843193824369, 'a': 0.5}",25,0,-57.44775596718482,"{0: 10, 1: 15, 2: 0, 3: 0, 4: 0}",0
31,False,"{'e': 0.5345746329947881, 'a': 0.5}",20,0,-34.990018418722,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
32,False,"{'e': 0.5238831403348924, 'a': 0.5}",20,0,-29.179696498798194,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
33,False,"{'e': 0.5134054775281945, 'a': 0.5}",20,0,-51.088061511300594,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
34,False,"{'e': 0.5031373679776306, 'a': 0.5}",30,0,-36.5108778498671,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
35,False,"{'e': 0.493074620618078, 'a': 0.5}",20,0,-26.852298853749797,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
36,False,"{'e': 0.48321312820571644, 'a': 0.5}",30,0,-72.7368042182877,"{0: 14, 1: 16, 2: 0, 3: 0, 4: 0}",0
37,False,"{'e': 0.4735488656416021, 'a': 0.5}",20,0,-46.72947911616068,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
38,False,"{'e': 0.46407788832877006, 'a': 0.5}",25,0,-50.298672513339994,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
39,False,"{'e': 0.45479633056219465, 'a': 0.5}",35,0,-89.66534529235012,"{0: 15, 1: 20, 2: 0, 3: 0, 4: 0}",0
40,False,"{'e': 0.44570040395095073, 'a': 0.5}",25,0,-44.00735359922122,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
41,False,"{'e': 0.4367863958719317, 'a': 0.5}",25,0,-46.81246555876623,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
42,False,"{'e': 0.42805066795449304, 'a': 0.5}",35,0,-71.53097591383784,"{0: 16, 1: 19, 2: 0, 3: 0, 4: 0}",0
43,False,"{'e': 0.41948965459540316, 'a': 0.5}",20,0,-43.57596620207868,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
44,False,"{'e': 0.4110998615034951, 'a': 0.5}",20,0,-42.60286907753169,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
45,False,"{'e': 0.4028778642734252, 'a': 0.5}",30,0,-35.841880155916314,"{0: 17, 1: 13, 2: 0, 3: 0, 4: 0}",0
46,False,"{'e': 0.39482030698795667, 'a': 0.5}",25,0,-47.357223491380054,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
47,False,"{'e': 0.38692390084819756, 'a': 0.5}",20,0,-37.71038916542244,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
48,False,"{'e': 0.3791854228312336, 'a': 0.5}",25,0,-50.982237679785975,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
49,False,"{'e': 0.37160171437460887, 'a': 0.5}",25,0,-50.39849549634159,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
50,False,"{'e': 0.3641696800871167, 'a': 0.5}",25,0,-43.13531198726306,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
51,False,"{'e': 0.35688628648537435, 'a': 0.5}",25,0,-43.110075345080126,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
52,False,"{'e': 0.34974856075566685, 'a': 0.5}",30,0,-54.018375064817114,"{0: 14, 1: 16, 2: 0, 3: 0, 4: 0}",0
53,False,"{'e': 0.3427535895405535, 'a': 0.5}",25,0,-60.66478144150811,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
54,False,"{'e': 0.33589851774974244, 'a': 0.5}",30,0,-57.841866317246016,"{0: 14, 1: 16, 2: 0, 3: 0, 4: 0}",0
55,False,"{'e': 0.3291805473947476, 'a': 0.5}",25,0,-48.45874097677692,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
56,False,"{'e': 0.32259693644685267, 'a': 0.5}",20,0,-47.83097111340129,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
57,False,"{'e': 0.3161449977179156, 'a': 0.5}",25,0,-53.0964241571364,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
58,False,"{'e': 0.3098220977635573, 'a': 0.5}",20,0,-27.638839508849387,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
59,False,"{'e': 0.30362565580828615, 'a': 0.5}",20,0,-38.62004823399602,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
60,False,"{'e': 0.2975531426921204, 'a': 0.5}",20,0,-21.503635320549712,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
61,False,"{'e': 0.291602079838278, 'a': 0.5}",20,0,-45.12114955388467,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
62,False,"{'e': 0.2857700382415124, 'a': 0.5}",25,0,-48.73389964345057,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
63,False,"{'e': 0.2800546374766822, 'a': 0.5}",30,0,-52.64894839686458,"{0: 17, 1: 13, 2: 0, 3: 0, 4: 0}",0
64,False,"{'e': 0.27445354472714856, 'a': 0.5}",25,0,-49.95897470705398,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
65,False,"{'e': 0.2689644738326056, 'a': 0.5}",25,0,-47.82439652021027,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
66,False,"{'e': 0.26358518435595346, 'a': 0.5}",20,0,-47.56836277354728,"{0: 8, 1: 12, 2: 0, 3: 0, 4: 0}",0
67,False,"{'e': 0.25831348066883436, 'a': 0.5}",20,0,-17.143180811482807,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
68,False,"{'e': 0.2531472110554577, 'a': 0.5}",20,0,-34.9039954401668,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
69,False,"{'e': 0.24808426683434853, 'a': 0.5}",25,0,-39.159962942820606,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
70,False,"{'e': 0.24312258149766156, 'a': 0.5}",20,0,-17.82917609657363,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
71,False,"{'e': 0.2382601298677083, 'a': 0.5}",25,0,-60.887581328998145,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
72,False,"{'e': 0.23349492727035415, 'a': 0.5}",25,0,-54.79097474027752,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
73,False,"{'e': 0.22882502872494706, 'a': 0.5}",30,0,-60.274377080524395,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
74,False,"{'e': 0.22424852815044813, 'a': 0.5}",25,0,-42.97014626119536,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
75,False,"{'e': 0.21976355758743915, 'a': 0.5}",25,0,-49.48063864323581,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
76,False,"{'e': 0.21536828643569036, 'a': 0.5}",20,0,-27.26697647132338,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
77,False,"{'e': 0.21106092070697655, 'a': 0.5}",20,0,-36.51828133451085,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
