trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.98, 'a': 0.5}",20,0,-79.29715224185681,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
2,False,"{'e': 0.9603999999999999, 'a': 0.5}",30,0,-223.53005901694547,"{0: 16, 1: 3, 2: 7, 3: 0, 4: 4}",0
3,False,"{'e': 0.9411919999999999, 'a': 0.5}",25,0,-64.43642671487211,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
4,False,"{'e': 0.9223681599999999, 'a': 0.5}",20,0,-66.59317776269349,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
5,False,"{'e': 0.9039207967999998, 'a': 0.5}",20,0,-86.88912071799203,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
6,False,"{'e': 0.8858423808639998, 'a': 0.5}",20,0,-117.41807278508445,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
7,False,"{'e': 0.8681255332467198, 'a': 0.5}",20,0,-102.03963859812475,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
8,False,"{'e': 0.8507630225817854, 'a': 0.5}",20,3,-125.21275785123997,"{0: 9, 1: 0, 2: 6, 3: 0, 4: 2}",1
9,False,"{'e': 0.8337477621301497, 'a': 0.5}",25,0,-106.86886885593987,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
10,False,"{'e': 0.8170728068875467, 'a': 0.5}",25,0,-156.11642502346493,"{0: 15, 1: 4, 2: 3, 3: 0, 4: 3}",0
11,False,"{'e': 0.8007313507497957, 'a': 0.5}",30,0,-249.7210258370818,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 6}",0
12,False,"{'e': 0.7847167237347998, 'a': 0.5}",20,0,-102.14436612572051,"{0: 11, 1: 5, 2: 1, 3: 2, 4: 1}",0
13,False,"{'e': 0.7690223892601038, 'a': 0.5}",25,8,-65.27048308112873,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 1}",1
14,False,"{'e': 0.7536419414749017, 'a': 0.5}",20,11,-23.35134525159046,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 0}",1
15,False,"{'e': 0.7385691026454037, 'a': 0.5}",25,0,-143.7352657482272,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
16,False,"{'e': 0.7237977205924956, 'a': 0.5}",20,0,-35.56322692299027,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
17,False,"{'e': 0.7093217661806457, 'a': 0.5}",20,0,-144.38140718172585,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
18,False,"{'e': 0.6951353308570327, 'a': 0.5}",20,0,-63.736301831028996,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
19,False,"{'e': 0.6812326242398921, 'a': 0.5}",25,6,-96.13614021375422,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 1}",1
20,False,"{'e': 0.6676079717550942, 'a': 0.5}",25,0,-124.7793594323857,"{0: 11, 1: 3, 2: 10, 3: 1, 4: 0}",0
1,True,"{'e': 0.0, 'a': 0.0}",25,0,-79.64238528542874,"{0: 14, 1: 2, 2: 9, 3: 0, 4: 0}",0
2,True,"{'e': 0.0, 'a': 0.0}",20,0,-57.775482810016726,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
3,True,"{'e': 0.0, 'a': 0.0}",25,0,-44.62432716919589,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
4,True,"{'e': 0.0, 'a': 0.0}",25,0,-131.81109282870676,"{0: 10, 1: 7, 2: 7, 3: 0, 4: 1}",0
5,True,"{'e': 0.0, 'a': 0.0}",30,14,-95.60585851490066,"{0: 7, 1: 5, 2: 2, 3: 1, 4: 1}",1
6,True,"{'e': 0.0, 'a': 0.0}",25,0,-122.87162254934836,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
7,True,"{'e': 0.0, 'a': 0.0}",20,0,-129.45471396669438,"{0: 9, 1: 4, 2: 4, 3: 2, 4: 1}",0
8,True,"{'e': 0.0, 'a': 0.0}",20,0,-176.3297062177202,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
9,True,"{'e': 0.0, 'a': 0.0}",30,0,-153.21175954278212,"{0: 12, 1: 6, 2: 10, 3: 2, 4: 0}",0
10,True,"{'e': 0.0, 'a': 0.0}",20,0,-54.68157039518044,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
