trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.98, 'a': 0.5}",20,0,-120.24032034918908,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
2,False,"{'e': 0.9603999999999999, 'a': 0.5}",35,0,-242.85674079725837,"{0: 14, 1: 6, 2: 11, 3: 2, 4: 2}",0
3,False,"{'e': 0.9411919999999999, 'a': 0.5}",30,0,-177.8420262654774,"{0: 15, 1: 2, 2: 10, 3: 2, 4: 1}",0
4,False,"{'e': 0.9223681599999999, 'a': 0.5}",20,0,-45.3874866634162,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
5,False,"{'e': 0.9039207967999998, 'a': 0.5}",20,0,-166.90447568804197,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
6,False,"{'e': 0.8858423808639998, 'a': 0.5}",20,0,-133.45669030407115,"{0: 10, 1: 5, 2: 2, 3: 1, 4: 2}",0
7,False,"{'e': 0.8681255332467198, 'a': 0.5}",20,0,-53.424475847248154,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
8,False,"{'e': 0.8507630225817854, 'a': 0.5}",35,0,-119.6951244224616,"{0: 25, 1: 4, 2: 4, 3: 0, 4: 2}",0
9,False,"{'e': 0.8337477621301497, 'a': 0.5}",25,0,-162.59008679772523,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
10,False,"{'e': 0.8170728068875467, 'a': 0.5}",30,0,-94.10808824817894,"{0: 18, 1: 7, 2: 4, 3: 0, 4: 1}",0
11,False,"{'e': 0.8007313507497957, 'a': 0.5}",35,0,-128.088199617901,"{0: 22, 1: 4, 2: 7, 3: 1, 4: 1}",0
12,False,"{'e': 0.7847167237347998, 'a': 0.5}",20,0,-76.0373924235177,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
13,False,"{'e': 0.7690223892601038, 'a': 0.5}",30,0,-170.20868747517238,"{0: 19, 1: 4, 2: 3, 3: 1, 4: 3}",0
14,False,"{'e': 0.7536419414749017, 'a': 0.5}",25,0,-79.66781975969394,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
15,False,"{'e': 0.7385691026454037, 'a': 0.5}",20,1,-85.26681778630899,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 0}",1
16,False,"{'e': 0.7237977205924956, 'a': 0.5}",20,0,-172.90050657517736,"{0: 11, 1: 2, 2: 2, 3: 2, 4: 3}",0
17,False,"{'e': 0.7093217661806457, 'a': 0.5}",30,0,-103.33869650335775,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
18,False,"{'e': 0.6951353308570327, 'a': 0.5}",30,0,-101.67653492781922,"{0: 24, 1: 2, 2: 1, 3: 1, 4: 2}",0
19,False,"{'e': 0.6812326242398921, 'a': 0.5}",25,0,-24.688728462279734,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
20,False,"{'e': 0.6676079717550942, 'a': 0.5}",25,0,-87.95573259626012,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
21,False,"{'e': 0.6542558123199923, 'a': 0.5}",30,13,-64.51750338673254,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 1}",1
22,False,"{'e': 0.6411706960735924, 'a': 0.5}",20,13,-9.26871784949371,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
23,False,"{'e': 0.6283472821521205, 'a': 0.5}",30,0,-207.69504081388146,"{0: 17, 1: 2, 2: 6, 3: 2, 4: 3}",0
24,False,"{'e': 0.6157803365090782, 'a': 0.5}",20,0,-16.924873503005408,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
25,False,"{'e': 0.6034647297788965, 'a': 0.5}",20,3,-62.923488826880195,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 1}",1
26,False,"{'e': 0.5913954351833186, 'a': 0.5}",30,0,-69.97045949948824,"{0: 22, 1: 4, 2: 2, 3: 1, 4: 1}",0
27,False,"{'e': 0.5795675264796523, 'a': 0.5}",20,0,-140.2662415137454,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
28,False,"{'e': 0.5679761759500592, 'a': 0.5}",30,0,-123.35385805957858,"{0: 19, 1: 5, 2: 4, 3: 0, 4: 2}",0
29,False,"{'e': 0.5566166524310581, 'a': 0.5}",20,0,8.76101269922365,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
30,False,"{'e': 0.5454843193824369, 'a': 0.5}",20,0,-7.046822335874008,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
31,False,"{'e': 0.5345746329947881, 'a': 0.5}",25,15,15.307992287543605,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'e': 0.5238831403348924, 'a': 0.5}",20,12,-42.1048818364654,"{0: 5, 1: 0, 2: 1, 3: 2, 4: 0}",1
33,False,"{'e': 0.5134054775281945, 'a': 0.5}",25,0,-149.47059859163383,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
34,False,"{'e': 0.5031373679776306, 'a': 0.5}",25,3,-134.92770152146133,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 2}",1
35,False,"{'e': 0.493074620618078, 'a': 0.5}",20,12,11.48582099840841,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
36,False,"{'e': 0.48321312820571644, 'a': 0.5}",30,4,-61.41948854831143,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 2}",1
37,False,"{'e': 0.4735488656416021, 'a': 0.5}",25,0,-78.37123259549041,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
38,False,"{'e': 0.46407788832877006, 'a': 0.5}",25,0,-37.772169327618066,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
39,False,"{'e': 0.45479633056219465, 'a': 0.5}",25,6,-65.64298871400976,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 0}",1
40,False,"{'e': 0.44570040395095073, 'a': 0.5}",20,9,-23.387735325118268,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
41,False,"{'e': 0.4367863958719317, 'a': 0.5}",20,8,-27.44927995147636,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
42,False,"{'e': 0.42805066795449304, 'a': 0.5}",20,0,-1.8166839593706994,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
43,False,"{'e': 0.41948965459540316, 'a': 0.5}",20,16,4.896629982335111,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'e': 0.4110998615034951, 'a': 0.5}",25,0,9.243285603590444,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
45,False,"{'e': 0.4028778642734252, 'a': 0.5}",25,0,-95.69894713217303,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
46,False,"{'e': 0.39482030698795667, 'a': 0.5}",25,8,-10.74855203776837,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
47,False,"{'e': 0.38692390084819756, 'a': 0.5}",25,6,2.8766619085536194,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
48,False,"{'e': 0.3791854228312336, 'a': 0.5}",25,7,-0.04282077220796476,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
49,False,"{'e': 0.37160171437460887, 'a': 0.5}",20,8,-46.93234932320141,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 1}",1
50,False,"{'e': 0.3641696800871167, 'a': 0.5}",20,6,-55.885572632040514,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 1}",1
51,False,"{'e': 0.35688628648537435, 'a': 0.5}",20,0,-20.567612491872268,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
