trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.98, 'a': 0.5}",30,0,-193.61686442354997,"{0: 15, 1: 5, 2: 5, 3: 3, 4: 2}",0
2,False,"{'e': 0.9603999999999999, 'a': 0.5}",25,0,-176.99154885569908,"{0: 11, 1: 2, 2: 8, 3: 3, 4: 1}",0
3,False,"{'e': 0.9411919999999999, 'a': 0.5}",20,0,-24.879673988908568,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
4,False,"{'e': 0.9223681599999999, 'a': 0.5}",25,0,-131.16132897290032,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
5,False,"{'e': 0.9039207967999998, 'a': 0.5}",20,0,-139.11712166764957,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
6,False,"{'e': 0.8858423808639998, 'a': 0.5}",35,0,-320.64111771614745,"{0: 17, 1: 5, 2: 5, 3: 3, 4: 5}",0
7,False,"{'e': 0.8681255332467198, 'a': 0.5}",20,7,-12.361149445166458,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
8,False,"{'e': 0.8507630225817854, 'a': 0.5}",25,0,-177.49603464714778,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
9,False,"{'e': 0.8337477621301497, 'a': 0.5}",25,0,-142.1802211213889,"{0: 14, 1: 5, 2: 3, 3: 1, 4: 2}",0
10,False,"{'e': 0.8170728068875467, 'a': 0.5}",25,1,-180.86101317704873,"{0: 15, 1: 1, 2: 3, 3: 2, 4: 3}",1
11,False,"{'e': 0.8007313507497957, 'a': 0.5}",25,0,-44.91381075418139,"{0: 19, 1: 2, 2: 2, 3: 2, 4: 0}",1
12,False,"{'e': 0.7847167237347998, 'a': 0.5}",25,2,-80.67491471072499,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 1}",1
13,False,"{'e': 0.7690223892601038, 'a': 0.5}",20,0,-82.39837675240808,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
14,False,"{'e': 0.7536419414749017, 'a': 0.5}",20,0,-69.67153932118255,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
15,False,"{'e': 0.7385691026454037, 'a': 0.5}",30,19,-18.195289191601645,"{0: 8, 1: 2, 2: 0, 3: 1, 4: 0}",1
16,False,"{'e': 0.7237977205924956, 'a': 0.5}",25,0,-96.11479060188819,"{0: 15, 1: 3, 2: 4, 3: 3, 4: 0}",0
17,False,"{'e': 0.7093217661806457, 'a': 0.5}",30,0,-27.88936057541725,"{0: 22, 1: 5, 2: 2, 3: 1, 4: 0}",0
18,False,"{'e': 0.6951353308570327, 'a': 0.5}",20,0,-104.32432278684243,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
19,False,"{'e': 0.6812326242398921, 'a': 0.5}",20,0,-94.95004385634726,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
