trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.05, 'a': 0.5}",30,0,-61.77198351313942,"{0: 13, 1: 17, 2: 0, 3: 0, 4: 0}",0
2,False,"{'e': 0.0025000000000000005, 'a': 0.5}",20,0,-56.744611138416936,"{0: 8, 1: 12, 2: 0, 3: 0, 4: 0}",0
3,False,"{'e': 0.00012500000000000003, 'a': 0.5}",25,0,-39.36268022184848,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
4,False,"{'e': 6.250000000000002e-06, 'a': 0.5}",25,0,-36.506701237599614,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
5,False,"{'e': 3.1250000000000013e-07, 'a': 0.5}",30,0,-41.14233198913645,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
6,False,"{'e': 1.5625000000000006e-08, 'a': 0.5}",35,0,-86.19182808810558,"{0: 15, 1: 20, 2: 0, 3: 0, 4: 0}",0
7,False,"{'e': 7.812500000000004e-10, 'a': 0.5}",25,0,-44.51914017304483,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
8,False,"{'e': 3.906250000000002e-11, 'a': 0.5}",35,0,-66.24284235145582,"{0: 16, 1: 19, 2: 0, 3: 0, 4: 0}",0
9,False,"{'e': 1.953125000000001e-12, 'a': 0.5}",25,0,-45.36216306823797,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
10,False,"{'e': 9.765625000000005e-14, 'a': 0.5}",30,0,-62.37466515411707,"{0: 14, 1: 16, 2: 0, 3: 0, 4: 0}",0
11,False,"{'e': 4.882812500000003e-15, 'a': 0.5}",20,0,-27.980924151266905,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
12,False,"{'e': 2.4414062500000014e-16, 'a': 0.5}",25,0,-37.46526112931022,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
13,False,"{'e': 1.2207031250000008e-17, 'a': 0.5}",20,0,-24.46814185109056,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
14,False,"{'e': 6.103515625000005e-19, 'a': 0.5}",25,0,-55.72253550333008,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
15,False,"{'e': 3.0517578125000026e-20, 'a': 0.5}",25,0,-47.42230979393992,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
16,False,"{'e': 1.5258789062500015e-21, 'a': 0.5}",30,0,-57.54552501948203,"{0: 14, 1: 16, 2: 0, 3: 0, 4: 0}",0
17,False,"{'e': 7.629394531250008e-23, 'a': 0.5}",25,0,-51.58606087019559,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
18,False,"{'e': 3.814697265625004e-24, 'a': 0.5}",20,0,-50.58091638157747,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
19,False,"{'e': 1.907348632812502e-25, 'a': 0.5}",25,0,-46.25904095118992,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
20,False,"{'e': 9.536743164062511e-27, 'a': 0.5}",25,0,-70.7543792535952,"{0: 10, 1: 15, 2: 0, 3: 0, 4: 0}",0
1,True,"{'e': 0.0, 'a': 0.0}",30,0,-51.014594668917944,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
2,True,"{'e': 0.0, 'a': 0.0}",25,0,-25.257393636201538,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
3,True,"{'e': 0.0, 'a': 0.0}",20,0,-56.098671230290144,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
4,True,"{'e': 0.0, 'a': 0.0}",20,0,-28.6059049595678,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
5,True,"{'e': 0.0, 'a': 0.0}",25,0,-53.561390978462555,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
6,True,"{'e': 0.0, 'a': 0.0}",25,0,-63.77496511906257,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
7,True,"{'e': 0.0, 'a': 0.0}",30,0,-52.57331244706984,"{0: 17, 1: 13, 2: 0, 3: 0, 4: 0}",0
8,True,"{'e': 0.0, 'a': 0.0}",20,0,-25.522101658400977,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
9,True,"{'e': 0.0, 'a': 0.0}",20,0,-39.524847316087545,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
10,True,"{'e': 0.0, 'a': 0.0}",35,0,-44.55073112528908,"{0: 20, 1: 15, 2: 0, 3: 0, 4: 0}",0
11,True,"{'e': 0.0, 'a': 0.0}",20,0,-54.54979301660865,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
12,True,"{'e': 0.0, 'a': 0.0}",30,0,-73.27302680267277,"{0: 14, 1: 16, 2: 0, 3: 0, 4: 0}",0
13,True,"{'e': 0.0, 'a': 0.0}",25,0,-50.695845863940946,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
14,True,"{'e': 0.0, 'a': 0.0}",20,0,-50.80618013141839,"{0: 8, 1: 12, 2: 0, 3: 0, 4: 0}",0
15,True,"{'e': 0.0, 'a': 0.0}",20,0,-25.992771169576955,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
16,True,"{'e': 0.0, 'a': 0.0}",20,0,-40.07581991487334,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
17,True,"{'e': 0.0, 'a': 0.0}",25,0,-48.11171704509606,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
18,True,"{'e': 0.0, 'a': 0.0}",20,0,-49.5399792076152,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
19,True,"{'e': 0.0, 'a': 0.0}",25,0,-39.833879297770295,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
20,True,"{'e': 0.0, 'a': 0.0}",30,0,-73.3204418174382,"{0: 14, 1: 16, 2: 0, 3: 0, 4: 0}",0
21,True,"{'e': 0.0, 'a': 0.0}",25,0,-32.901561071151306,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
22,True,"{'e': 0.0, 'a': 0.0}",20,0,-45.92334157476335,"{0: 8, 1: 12, 2: 0, 3: 0, 4: 0}",0
23,True,"{'e': 0.0, 'a': 0.0}",25,0,-65.9123702468751,"{0: 10, 1: 15, 2: 0, 3: 0, 4: 0}",0
24,True,"{'e': 0.0, 'a': 0.0}",35,0,-92.76552548825758,"{0: 15, 1: 20, 2: 0, 3: 0, 4: 0}",0
25,True,"{'e': 0.0, 'a': 0.0}",20,0,-47.60771843041079,"{0: 8, 1: 12, 2: 0, 3: 0, 4: 0}",0
26,True,"{'e': 0.0, 'a': 0.0}",20,0,-37.359570050205186,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
27,True,"{'e': 0.0, 'a': 0.0}",20,0,-49.258119055216426,"{0: 8, 1: 12, 2: 0, 3: 0, 4: 0}",0
28,True,"{'e': 0.0, 'a': 0.0}",20,0,-24.581070889082348,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
29,True,"{'e': 0.0, 'a': 0.0}",20,0,-32.85273486737039,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
30,True,"{'e': 0.0, 'a': 0.0}",35,0,-37.9707136559616,"{0: 19, 1: 16, 2: 0, 3: 0, 4: 0}",0
31,True,"{'e': 0.0, 'a': 0.0}",30,0,-55.50938676007699,"{0: 14, 1: 16, 2: 0, 3: 0, 4: 0}",0
32,True,"{'e': 0.0, 'a': 0.0}",30,0,-42.29156684602825,"{0: 17, 1: 13, 2: 0, 3: 0, 4: 0}",0
33,True,"{'e': 0.0, 'a': 0.0}",20,0,-43.20620837983407,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
34,True,"{'e': 0.0, 'a': 0.0}",30,0,-61.038041794561934,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
35,True,"{'e': 0.0, 'a': 0.0}",35,0,-48.5772216598319,"{0: 19, 1: 16, 2: 0, 3: 0, 4: 0}",0
36,True,"{'e': 0.0, 'a': 0.0}",25,0,-49.626056858302086,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
37,True,"{'e': 0.0, 'a': 0.0}",30,0,-63.744069692468386,"{0: 13, 1: 17, 2: 0, 3: 0, 4: 0}",0
38,True,"{'e': 0.0, 'a': 0.0}",30,0,-68.90674755626023,"{0: 14, 1: 16, 2: 0, 3: 0, 4: 0}",0
39,True,"{'e': 0.0, 'a': 0.0}",25,0,-41.16265506987045,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
40,True,"{'e': 0.0, 'a': 0.0}",20,0,-50.41231113032696,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
41,True,"{'e': 0.0, 'a': 0.0}",20,0,-33.048016584155576,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
42,True,"{'e': 0.0, 'a': 0.0}",20,0,-50.99955845581218,"{0: 8, 1: 12, 2: 0, 3: 0, 4: 0}",0
43,True,"{'e': 0.0, 'a': 0.0}",25,0,-37.16618907827891,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
44,True,"{'e': 0.0, 'a': 0.0}",30,0,-67.24944263792791,"{0: 13, 1: 17, 2: 0, 3: 0, 4: 0}",0
45,True,"{'e': 0.0, 'a': 0.0}",25,0,-19.664475227959073,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
46,True,"{'e': 0.0, 'a': 0.0}",20,0,-24.61189690808998,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
47,True,"{'e': 0.0, 'a': 0.0}",20,0,-54.60388406463193,"{0: 8, 1: 12, 2: 0, 3: 0, 4: 0}",0
48,True,"{'e': 0.0, 'a': 0.0}",20,0,-24.67366322099266,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
49,True,"{'e': 0.0, 'a': 0.0}",25,0,-52.635015767613524,"{0: 10, 1: 15, 2: 0, 3: 0, 4: 0}",0
50,True,"{'e': 0.0, 'a': 0.0}",25,0,-35.34880452551324,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
51,True,"{'e': 0.0, 'a': 0.0}",25,0,-58.287365791416136,"{0: 10, 1: 15, 2: 0, 3: 0, 4: 0}",0
52,True,"{'e': 0.0, 'a': 0.0}",25,0,-54.4636431121431,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
53,True,"{'e': 0.0, 'a': 0.0}",20,0,-51.12183052150843,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
